,"(pa, pa)","(ba, ba)","(ba, BA)","(ka, ka)","(ga, ga)","(ga, GA)",MainLeft,MainRight,Id-urAccent,Id-root-urAccent
0,83.20713024340927,83.20712305960696,41.778624605132855,77.81695643138077,77.81696397612212,23.12953660039689,20.149505039533825,0.0,1.2752226840516176,1.303176587774714
1,81.97104949187037,81.12601845342765,81.40973222648928,29.389556619889014,10.950498588467031,29.38955868276095,16.83000280902704,0.0,0.0,2.6705065368650827
2,74.18280947542392,61.98000292786558,74.18280213850242,68.57080311273161,68.5708048190389,52.64329367172482,16.699929608814223,0.0,4.3194148588817125,0.6790219578283933
3,61.098512752092674,61.09851816262583,30.657003279285465,55.27796167153158,55.27796782136249,1.2651294254888747,14.56944982025497,0.0,4.34805130435172,4.665342583918575
4,85.70562920427767,67.011603156383,85.70562775484703,72.11733849665936,72.11733068620914,57.561008489808444,14.770199020112075,0.0,2.1448767518758003,4.8337585799508
5,74.12289711380156,10.383680997008305,74.12288947073581,38.2362552287556,37.02544448695335,37.88250021175163,16.868679176401944,0.0,0.0,4.0775640465495036
6,54.28761770206833,54.287623273150615,9.223127590256485,85.10050385460819,85.10050664151822,55.11973350529682,18.625560664778845,0.0,4.461261536680653,4.573786012234259
7,46.603825598801876,31.626441489465947,46.603831621420575,57.82850983305822,57.82193434930531,52.801352149975735,156.65607989817383,0.0,0.0,4.562148105957142
8,49.036196009430505,49.03619600099884,23.032037938407306,55.42238567075409,9.95777959413382,55.42238561711278,15.870609978822355,0.0,0.0,4.35331934136227
9,81.7560182283953,46.563844266813256,81.75601343211994,71.8901835530452,71.89018470740932,29.858146612384278,13.779648241532803,0.0,4.716642706768016,3.2664531568260866
10,54.61846692238921,54.618466891333384,20.037837685476322,38.98210445764636,38.98210444327274,4.234404543784658,19.332159528941443,0.0,4.637186087649706,1.7498422976345265
11,71.99570470428722,71.99571127840478,42.49106234489273,71.81049184299373,71.81049288360201,43.930418643694054,17.694759322392784,0.0,0.5956555731899715,1.7357464684917927
12,36.974568329889635,24.989322348681522,36.97456225940777,64.55648436472814,64.55648407450289,28.099394778358747,14.323000737438376,0.0,4.429251418682962,3.9861721650661845
13,77.56784267727151,43.64909140397679,77.5678393545837,72.00045628851466,12.516951334647587,72.0004591326293,16.179013702714553,0.0,0.0,4.524375259621522
14,53.515221189347784,53.51519979953525,42.76044950925956,73.56176858942491,18.723246189055388,73.56176862719605,57.85290566243741,0.0,0.0,1.1703986931008226
15,40.50808737642133,9.286138527830635,40.508087401328886,29.940514254068816,29.880241835876216,27.10163900031722,17.981254989443194,0.0,3.611378045166753,4.742644925101074
16,53.493074415532085,9.365128636375463,53.49308127398221,85.93671286631393,70.06146968622616,85.93671532437271,17.62349356642067,0.0,0.0,3.444778980369411
17,61.48857484326508,61.48853045925201,51.450977981585055,51.28635802590488,51.28635754104643,36.23466570402822,18.4659854516788,0.0,1.5047339159198152,0.19622636982064837
18,76.34205147306673,35.32291656093244,76.34205147820921,65.77812624808662,15.622769483317178,65.77812622143999,19.08962979749535,0.0,0.0,3.232005300148237
19,85.91851098392857,85.91851087668657,42.132563958510126,62.50246468723861,62.502464682320166,20.82973058068879,16.703467419548655,0.0,2.115534327808709,0.35469302516603707
20,42.324141270246486,42.32414128242525,17.77775620684216,67.4273126515314,67.4273126567624,9.106328491064996,19.67781092511476,0.0,0.1758907494943139,3.128787089693198
21,94.38411831749956,1.3319909439365785,94.38411863201452,59.03684306782617,50.75025984232294,59.03658995891264,17.0666683256288,0.0,0.0,2.3466965732406218
22,68.72338449227264,8.153591845961028,68.72338387474547,42.804321945053005,29.252304809611793,42.80431972086426,13.589743197795183,0.0,0.18921409491907715,6.678576974512778
23,28.821419101359574,16.851853707127734,28.821412859106136,55.93955629612598,30.331343598433158,55.93955630492339,15.143477516737235,0.0,0.0,3.4931908255177517
24,56.77800923985848,37.538092436454676,56.777991104016714,34.49732029678438,29.78820301460616,34.48827000145474,11.05936716162634,0.0,0.0,0.7412816553170741
25,59.77390756757582,59.77391232368707,41.22895619323497,45.5323451852555,45.53234502820392,20.951760403589184,17.160873186933532,0.0,4.347304692154318,4.269568169533071
26,38.30980598384829,38.309765934812425,28.33955013254661,58.95778204344329,58.8074830487936,56.98833451205126,569.7471474904726,0.0,0.0,2.3931979317306364
27,44.16091033819614,16.924983052046866,44.16091039598031,72.35893695891886,72.35893690306871,25.27144154884744,14.921548032126363,0.0,2.145635429270846,1.3979629453585474
28,48.87584325809444,48.875838285362306,29.1251308800574,63.648552708295824,63.648555691267575,30.310611561117664,13.504413707615587,0.0,2.1745498308433966,1.482015404208166
29,85.44958615175254,13.588856514873981,85.44959275349956,49.507763571697744,0.0631928104333634,49.50776845339906,17.546573203821637,0.0,0.0,2.6821239200131997
